abcdefghijklmnopqrstuvwxyz	SL
김일성사회주의청년동맹중앙위원회	NNP
동아시아오세아니아증권거래소연맹	NNP
호남성무산계급혁명파대연합위원회	NNP
백범김구선생시해진상규명위원회	NNP
부산아시아경기대회조직위원회	NNP
소니컴퓨터엔터테인먼트코리아	NNP
전국목자회정의평화실천협의회	NNP
전국목회자정의평화실천협의회	NNP
한국민단효고현권익옹호위원회	NNP
한국천주교평신도사도직협의회	NNP
동아자유언론수호투쟁위원회	NNP
민족통일민주주의노동자동맹	NNP
서울시치매노인종합상담센터	NNP
아시아기독교여성문화연구원	NNP
조선자유언론수호투쟁위원회	NNP
한국농어민후계자중앙연합회	NNP
한국무형문화재기능보존협회	NNP
만경대학생소년궁전예술단	NNP
말일성도예수그리스도교회	NNP
명주목단문삼회장겹저고리	NNG
새정치국민회의홍보위원회	NNP
조선사회주의노동청년동맹	NNP
조선프로레타리아문학동맹	NNP
조선프롤레타리아예술동맹	NNP
천주교정의구현전국사제단	NNP
한국농업경영인중앙연합회	NNP
한국수출포장공업주식회사	NNP
한국양돈협동조합연합회장	NNP
한국영상투자개발주식회사	NNP
한국자원봉사센터협의회장	NNP
한국정보통신인력개발센터	NNP
한국정신대문제대책위원회	NNP
한국정신대문제대책협의회	NNP
광주학생독립운동기념관	NNP
국가생명윤리심의위원회	NNP
국민정신총동원조선연맹	NNP
국제아동청소년연극협회	NNP
국제자유도시추진기획단	NNP
기독교대한하나님의성회	NNP
남한사회주의노동자동맹	NNP
네바다라스베이거스대학	NNP
다임러크라이슬러코리아	NNP
대구기독교청년의료인회	NNP
대구시립소년소녀합창단	NNP
대한무역투자진흥공공사	NNP
런던스쿨오브이코노믹스	NNP
만경대혁명가유자녀학원	NNP
부산부일외국어고등학교	NNP
사우스차이나모닝포스트	NNP
서울동부지방노동사무소	NNP
서울무형문화재전수회관	NNP
서울민주청년단체협의회	NNP
서울지역노동조합협의회	NNP
서울지역신문노조협의회	NNP
소비에트사회주의공화국	NNP
소프트뱅크벤처스코리아	NNP
슬로베니아민주야당연합	NNP
아시아태평양경제협력체	NNP
오프토테크놀러지컴퍼니	NNP
울산지역환경보전협의회	NNP
유엔캄보디아과도행정부	NNP
인천지역민주노동자연맹	NNP
전국노동운동단체협의회	NNP
전국농어민후계자협의회	NNP
전국민간환경단체협의회	NNP
전국신문통신노조협의회	NNP
전국자동차노동조합연맹	NNP
전국청년운동단체협의회	NNP
전국한약관련학과협의회	NNP
전국한의대학부모협의회	NNP
전남동부지역사회연구소	NNP
